name,definitions,distinct_values,top_values
--seg-card-shadow-hover,12,8,"var(--input-shadow-hover) [3 files] || var(--btn-primary-shadow-hover) [2 files] || 0 0 0 1px rgba(var(--hc-accent-rgb),0.46) [1 files] || var(--seg-card-shadow) [1 files] || none [1 files]"
--documents-content-bg,12,7,"color-mix(in srgb, var(--documents-glass-surface) 86%, transparent) [1 files] || var(--documents-glass-surface) [1 files] || rgba(30, 30, 30, 0.62) [1 files] || rgba(9, 14, 24, 0.6) [1 files] || color-mix(in srgb, var(--documents-glass-surface) 94%, transparent) [1 files]"
--documents-glass-surface,12,7,"var(--glass-ring-surface-bg, var(--glass-surface-bg, rgba(0, 0, 0, 0.25))) [1 files] || var(--glass-ring-surface-bg) [1 files] || var(--glass-ring-surface-bg, var(--glass-surface-bg, rgba(15, 14, 17, 0.35))) [1 files] || rgba(255, 255, 255, 0.92) [1 files] || rgba(236, 228, 220, 0.9) [1 files]"
--orbit-button-shadow,12,7,"var(--orbit-keypad-shadow) [2 files] || inset 0 0 0 1px rgba(255, 255, 255, 0.035), inset 0 1px 0 rgba(255, 255, 255, 0.025) [1 files] || 0 0 10px rgba(var(--hc-accent-rgb), 0.16), 0 8px 12px -5px rgba(var(--hc-accent-rgb), 0.3), inset 0 0 0 1px rgba(var(--hc-accent-rgb), 0.065), inset 0 1px 0 rgba(255, 250, 180, 0.035) [1 files] || inset 0 0 0 1px rgba(var(--mono-mid-rgb), 0.04), inset 0 1px 0 rgba(var(--mono-mid-rgb), 0.03) [1 files] || 0 10px 18px rgba(0, 0, 0, 0.18) [1 files]"
--seg-card-bg,12,7,"var(--form-surface) [3 files] || var(--btn-primary-bg) [2 files] || rgba(255, 234, 0, 0.1) !important [2 files] || rgba(14, 20, 32, 0.42) [1 files] || rgba(255, 234, 0, 0.1) [1 files]"
--documents-dropdown-item-bg,12,5,"transparent [1 files] || rgba(31, 33, 38, 0.99) [1 files] || rgba(18, 26, 40, 0.99) [1 files] || rgb(28, 28, 28) [1 files] || rgba(9, 14, 24, 0.84) [1 files]"
--glass-modal-shadow,12,3,none !important [6 files] || none [4 files] || var(--chat-invite-shadow) [1 files]
--documents-card-border,11,10,"rgba(255, 255, 255, 0.055) [1 files] || rgba(var(--mono-mid-rgb), 0.1) [1 files] || rgba(255, 234, 0, 0.54) [1 files] || color-mix(in srgb, rgba(255, 255, 255, 0.24) 72%, transparent) [1 files] || rgba(190, 196, 208, 0.38) [1 files]"
--documents-muted-border,11,10,"rgba(255, 255, 255, 0.055) [1 files] || rgba(var(--mono-mid-rgb), 0.1) [1 files] || rgba(255, 234, 0, 0.46) [1 files] || color-mix(in srgb, var(--panel-secondary-border) 96%, transparent) [1 files] || rgba(190, 196, 208, 0.3) [1 files]"
--documents-subpanel-border,11,10,"rgba(255, 255, 255, 0.055) [1 files] || rgba(var(--mono-mid-rgb), 0.1) [1 files] || rgba(255, 234, 0, 0.5) [1 files] || color-mix(in srgb, rgba(255, 255, 255, 0.2) 70%, transparent) [1 files] || rgba(190, 196, 208, 0.36) [1 files]"
--opaque-panel-border,11,9,"var(--subpage-card-border) [1 files] || rgba(var(--mono-mid-rgb), 0.14) [1 files] || rgba(255, 255, 255, 0.06) [1 files] || rgba(248, 253, 255, 0.12) [1 files] || rgba(148, 163, 184, 0.08) [1 files]"
--orbit-button-shadow-center,11,9,"0 0 22px rgba(255, 255, 255, 0.3), inset 0 0 0 1px rgba(255, 255, 255, 0.06), inset 0 1px 0 rgba(255, 255, 255, 0.045) [1 files] || 0 0 14px rgba(var(--hc-accent-rgb), 0.4), 0 0 26px rgba(var(--hc-accent-rgb), 0.22), 0 0 38px rgba(var(--hc-accent-rgb), 0.12), inset 0 0 0 1px rgba(var(--hc-accent-rgb), 0.16), inset 0 1px 0 rgba(255, 250, 180, 0.07) [1 files] || 0 0 22px rgba(var(--mono-light-rgb), 0.18), inset 0 0 0 1px rgba(var(--mono-mid-rgb), 0.06), inset 0 1px 0 rgba(var(--mono-mid-rgb), 0.04) [1 files] || 0 14px 24px rgba(0, 0, 0, 0.2) [1 files] || 0 16px 30px rgba(0, 0, 0, 0.18), inset 0 0 0 var(--pin-border-w) rgba(255, 255, 255, 0.54), inset 0 1px 0 rgba(255, 255, 255, 0.68), inset 0 -1px 0 rgba(0, 0, 0, 0.1) [1 files]"
--seg-card-border-active,11,6,"var(--seg-card-border) [5 files] || var( --seg-card-border-hover, var(--seg-card-border-selected, var(--seg-card-border)) ) [1 files] || rgba(var(--hc-accent-rgb), 0.95) [1 files] || rgba(255, 234, 0, 0.95) [1 files] || transparent [1 files]"
--seg-card-shadow-active,11,5,"var(--seg-card-shadow) [5 files] || var(--btn-primary-shadow-active) [2 files] || var( --seg-card-shadow-hover, var(--seg-card-shadow-selected, var(--seg-card-shadow)) ) [1 files] || none [1 files] || var(--mid-unified-surface-shadow-active) [1 files]"
--documents-panel-bg,11,4,"var(--documents-glass-surface) [1 files] || var(--glass-ring-surface-bg) [1 files] || rgba(255, 255, 255, 0.94) [1 files] || rgba(234, 226, 218, 0.9) [1 files]"
--documents-dropdown-border,11,3,"transparent [1 files] || rgba(255, 255, 255, 0.06) [1 files] || rgba(214, 214, 214, 0.14) [1 files]"
--documents-agent-composer-border,10,10,"rgba(var(--mono-mid-rgb), 0.12) [1 files] || rgba(255, 234, 0, 0.72) [1 files] || color-mix(in srgb, rgba(255, 255, 255, 0.18) 72%, transparent) [1 files] || rgba(190, 196, 208, 0.24) [1 files] || rgba(156, 138, 145, 0.28) [1 files]"
