category,value,count,file_count,example_files
rgb,"rgba(0, 0, 0, 0.18)",19,12,app/styles/features/chat/mono.css | app/styles/features/chat/shell.css | app/styles/features/documents/workspace.css | app/styles/features/profile/mono.css | app/styles/features/service-map/desktop/toolbar.css | app/styles/theme/light.css | app/styles/theme/mid.css | app/styles/theme/night.css
rgb,"rgba(0, 0, 0, 0.26)",19,9,app/styles/features/chat/shell.css | app/styles/features/chat/themes.css | app/styles/features/policy/pages.css | app/styles/features/policy/responsive.css | app/styles/features/service-map/desktop/base.css | app/styles/shared/workspace-guide.css | app/styles/theme/mono.css | app/styles/tokens.css
rgb,"rgba(0, 0, 0, 0.12)",19,9,app/styles/features/documents/agent.css | app/styles/features/documents/workspace.css | app/styles/features/policy/pages.css | app/styles/features/policy/responsive.css | app/styles/features/service-map/desktop/base.css | app/styles/features/service-map/desktop/pre-inquiry-agent.css | app/styles/shared/ui-glow.css | app/styles/tokens.css
rgb,"rgba(0, 0, 0, 0.16)",19,8,app/styles/features/documents/workspace.css | app/styles/features/home/themes.css | app/styles/features/policy/pages.css | app/styles/features/policy/responsive.css | app/styles/features/service-map/desktop/base.css | app/styles/theme/light.css | app/styles/tokens.css | components/effects/Components/OrbitalMenu/OrbitalMenu.css
rgb,"rgba(15, 23, 42, 0.065)",18,5,app/styles/features/chat/themes.css | app/styles/features/documents/workspace.css | app/styles/features/profile/hc.css | app/styles/theme/hc.css | components/effects/Components/OrbitalMenu/OrbitalMenu.css
rgb,"rgba(255, 255, 255, 0.16)",17,8,app/styles/features/chat/shell.css | app/styles/features/documents/workspace.css | app/styles/features/home/themes.css | app/styles/features/service-map/desktop/toolbar.css | app/styles/features/service-map/mobile.css | components/chat/WorkspacePanel.module.css | components/effects/Components/OrbitalMenu/OrbitalMenu.css | components/wellbeing/WellbeingPage.module.css
rgb,"rgba(0, 0, 0, 0.24)",17,11,app/styles/features/profile/hc.css | app/styles/shared/login-a11y.css | app/styles/theme/hc.css | app/styles/theme/light.css | app/styles/theme/mid.css | app/styles/theme/night.css | app/styles/tokens.css | components/chat/WorkspacePanel.module.css
rgb,"rgba(0, 0, 0, 0.2)",16,9,app/styles/features/chat/mono.css | app/styles/features/chat/shell.css | app/styles/features/documents/workspace.css | app/styles/features/policy/responsive.css | app/styles/shared/login-a11y.css | app/styles/theme/hc.css | app/styles/theme/mono.css | app/styles/tokens.css
rgb,"rgba(255, 255, 255, 0.055)",16,5,app/styles/features/documents/workspace.css | app/styles/shared/ui-glow.css | components/covision/CovisionPage.module.css | components/ui/PageInfoButton.module.css | components/wellbeing/WellbeingPage.module.css
rgb,"rgba(255, 255, 255, 0.04)",16,7,app/styles/features/policy/pages.css | app/styles/features/profile/hc.css | app/styles/shared/glass-subpage.css | app/styles/shared/login-a11y.css | app/styles/theme/hc.css | components/chat/WorkspacePanel.module.css | components/effects/Components/OrbitalMenu/OrbitalMenu.css
